Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Lateral Raise (Cable)",1,5.0,15,0,0,"",,7.5
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Lateral Raise (Cable)",2,10.0,10,0,0,,,8
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Lateral Raise (Cable)",3,10.0,10,0,0,,,8.5
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Lateral Raise (Cable)",4,10.0,12,0,0,,,9
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Seated Palms Up Wrist Curl (Dumbbell)",1,60.0,16,0,0,"",,8
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Seated Palms Up Wrist Curl (Dumbbell)",2,60.0,16,0,0,,,8.5
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Seated Palms Up Wrist Curl (Dumbbell)",3,60.0,16,0,0,,,8.5
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Seated Palms Up Wrist Curl (Dumbbell)",4,60.0,16,0,0,,,9
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Front Raise (Cable)",1,10.0,11,0,0,"",,8
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Front Raise (Cable)",2,10.0,11,0,0,,,8
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Front Raise (Cable)",3,10.0,13,0,0,,,8.5
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Front Raise (Cable)",4,10.0,14,0,0,,,9
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Reverse Fly (Cable)",1,5.0,14,0,0,"",,7.5
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Reverse Fly (Cable)",2,5.0,14,0,0,,,8
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Reverse Fly (Cable)",3,5.0,14,0,0,,,8.5
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Reverse Fly (Cable)",4,5.0,15,0,0,,,8.5
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Bench Press (Barbell)",1,135.0,14,0,0,"","",8
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Bench Press (Barbell)",2,135.0,14,0,0,,,8
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Bench Press (Barbell)",3,135.0,12,0,0,,,8.5
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Bench Press (Barbell)",4,145.0,9,0,0,,,8.5
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Bench Press (Barbell)",5,145.0,9,0,0,,,9
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Triceps Rope Pushdown",1,40.0,12,0,0,"",,7.5
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Triceps Rope Pushdown",2,40.0,14,0,0,,,8
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Triceps Rope Pushdown",3,40.0,14,0,0,,,8
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Triceps Rope Pushdown",4,40.0,14,0,0,,,9
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Incline Bench Press (Barbell)",1,105.0,12,0,0,"",,8
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Incline Bench Press (Barbell)",2,105.0,12,0,0,,,8.5
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Incline Bench Press (Barbell)",3,105.0,10,0,0,,,8.5
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Incline Bench Press (Barbell)",4,105.0,10,0,0,,,9
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Reverse Grip Triceps Pushdown (EZ Bar)",1,15.0,14,0,0,"",,7.5
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Reverse Grip Triceps Pushdown (EZ Bar)",2,20.0,11,0,0,,,8
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Reverse Grip Triceps Pushdown (EZ Bar)",3,20.0,11,0,0,,,9
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"Reverse Grip Triceps Pushdown (EZ Bar)",4,20.0,11,0,0,,,9.5
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"High To Low Chest Cable Fly ",1,25.000000000000004,12,0,0,"",,8
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"High To Low Chest Cable Fly ",2,25.000000000000004,12,0,0,,,8
2024-06-17 09:51:27,"Chest / Tris (V1)",1h 25m,"High To Low Chest Cable Fly ",3,25.000000000000004,13,0,0,,,8.5
